2018-12-30 16:49:13 INFO  ExtentReporttListener:75 - TC8 Test Started...
2018-12-30 16:49:14 INFO  ExtentReporttListener:75 - TC6 Test Started...
2018-12-30 16:49:14 INFO  ExtentReporttListener:103 - TC8Test Passed...
2018-12-30 16:49:14 INFO  ExtentReporttListener:103 - TC6Test Passed...
2018-12-30 16:49:14 INFO  ExtentReporttListener:75 - TC1 Test Started...
2018-12-30 16:49:14 INFO  ExtentReporttListener:103 - TC1Test Passed...
2018-12-30 16:49:27 INFO  ExtentReporttListener:75 - TC4 Test Started...
2018-12-30 16:49:27 INFO  ExtentReporttListener:103 - TC4Test Passed...
2018-12-30 16:49:27 INFO  ExtentReporttListener:75 - TC2 Test Started...
2018-12-30 16:49:27 INFO  ExtentReporttListener:103 - TC2Test Passed...
2018-12-30 16:49:32 INFO  ExtentReporttListener:55 - ExtentWithParallelClasses Test Finished...
